province,income_2023,grdp_2023,lee_votes,yoon_votes,total_votes,lee_pct,yoon_pct,conservative_margin,grdp_income_ratio,high_income,high_grdp,economic_type
Seoul,29372,58255,2944981,3255747,6439139,45.73563328886051,50.561837537596254,4.826204248735742,1.9833514912161243,TRUE,TRUE,"High Income, High GRDP"
Ulsan,28102,81235,297134,396321,728390,40.79325635991708,54.410549293647634,13.617292933730553,2.890719521742225,TRUE,TRUE,"High Income, High GRDP"
Daejeon,26493,36645,434950,464060,936401,46.44911741871271,49.557828323549415,3.1087109048367054,1.3831955610916091,TRUE,FALSE,"High Income, Low GRDP"
Sejong,25995,43174,119349,101491,229891,51.915472985023335,44.147443788578066,-7.768029196445269,1.6608578572802462,TRUE,TRUE,"High Income, High GRDP"
Gyeonggi,25696,43070,4428151,3965341,8691376,50.94879107750027,45.62385748815838,-5.324933589341889,1.6761363636363635,TRUE,TRUE,"High Income, High GRDP"
Gwangju,25378,35452,830058,124511,978601,84.82088205509703,12.723367337658557,-72.09751471743847,1.3969579951138782,TRUE,FALSE,"High Income, Low GRDP"
Chungbuk,24667,54214,455853,511921,1010209,45.1246227265843,50.67476136126287,5.550138634678568,2.1978351643896703,TRUE,TRUE,"High Income, High GRDP"
Incheon,24665,38840,913320,878560,1867054,48.91770671871301,47.055950176052754,-1.8617565426602596,1.5747009933103588,TRUE,FALSE,"High Income, Low GRDP"
Jeonnam,24604,55513,1094872,145549,1271616,86.10083547234385,11.445986838794102,-74.65484863354975,2.256259144854495,FALSE,TRUE,"Low Income, High GRDP"
Jeonbuk,24157,36283,1016863,176809,1225419,82.98084165497679,14.428452635384307,-68.55238901959248,1.5019663037628845,FALSE,FALSE,"Low Income, Low GRDP"
Busan,24026,34762,831896,1270072,2180178,38.15725138039188,58.255426850468176,20.0981754700763,1.4468492466494631,FALSE,FALSE,"Low Income, Low GRDP"
Daegu,23760,30985,345045,1199888,1596806,21.60844836504873,75.14300422217852,53.53455585712979,1.3040824915824916,FALSE,FALSE,"Low Income, Low GRDP"
Chungnam,23647,64709,589991,670283,1312113,44.96495347580582,51.08424350646629,6.119290030660466,2.736457055863323,FALSE,TRUE,"Low Income, High GRDP"
Gangwon,23326,40713,419644,544980,1005840,41.72075081523901,54.18157957528036,12.460828760041352,1.7453914087284574,FALSE,FALSE,"Low Income, Low GRDP"
Gyeongbuk,22921,48812,418371,1278922,1757696,23.802238839935917,72.76127384940285,48.95903500946694,2.129575498451202,FALSE,TRUE,"Low Income, High GRDP"
Jeju,22893,38450,213130,173014,405238,52.593784393368836,42.69441661443399,-9.899367778934845,1.6795527016992093,FALSE,FALSE,"Low Income, Low GRDP"
Gyeongnam,22769,42144,794130,1237346,2124344,37.38236368497758,58.24602795027547,20.863664265297892,1.8509376784224165,FALSE,FALSE,"Low Income, Low GRDP"
